CuisineType,RestaurantID,RestaurantName,Segment,Subregion,GrowthFactor,AOV,MonthlyOrders,InStoreOrders,InStoreRevenue,UberEatsOrders,DoorDashOrders,SelfDeliveryOrders,UberEatsRevenue,DoorDashRevenue,SelfDeliveryRevenue,COGSRate,OPEXRate,CommissionRate,DeliveryRadiusKM,DeliveryCostPerOrder,SD_DeliveryTotalCost,InStoreNetProfit,UberEatsNetProfit,DoorDashNetProfit,SelfDeliveryNetProfit,InStoreShare,UE_share,DD_share,SD_share,Cluster,GPI,GPI_Rank,Cluster_Label
Burgers,25731,Urban Burgers House,Cafe,North Shore,1.03,43.97,668,197,8662.09,212,118,141.0,9321.64,5188.46,6199.77,0.208741431,0.366171811,0.28,11,3.25,458.25,3682.14,1352.45,752.78,2177.19,0.42,0.45,0.25,0.3,1,0.1052884164732235,765.0,Stable Performers
Burgers,25123,Urban Burgers Diner,QSR,South Auckland,1.05,40.45,1388,259,10476.55,508,282,339.0,20548.6,11406.9,13712.55,0.248216603,0.407612904,0.28,16,4.72,1600.08,3605.72,1318.61,731.99,3119.38,0.23,0.45,0.25,0.3,2,0.6673894345689544,105.0,Dependent Low Margin
Burgers,25177,King Burgers Eatery,Cafe,West Auckland,1.04,40.03,1717,524,20975.72,537,298,358.0,21496.11,11928.94,14330.74,0.219687956,0.407931714,0.3,11,3.25,1163.5,5436.3550000000005,1555.9,863.42,4172.99,0.44,0.45,0.25,0.3,2,0.6224562588717812,133.0,Dependent Low Margin
Burgers,25540,Classic Burgers Tavern,QSR,North Shore,1.03,36.28,1083,216,7836.48,390,217,260.0,14149.2,7872.76,9432.8,0.237290997,0.437815106,0.33,3,0.89,231.4,2546.02,-72.25,-40.2,2833.26,0.25,0.45,0.25,0.3,1,-0.2817520880413036,1225.0,Stable Performers
Burgers,25258,Lucky Burgers Bistro,Cafe,South Auckland,1.05,34.34,1230,261,8962.74,436,242,291.0,14972.24,8310.28,9992.94,0.221437568,0.433456664,0.33,9,2.66,774.06,3093.09,226.17,125.53,2674.56,0.27,0.45,0.25,0.3,2,0.15909372050059817,689.0,Dependent Low Margin
Burgers,26138,King Burgers Kitchen,QSR,North Shore,1.03,36.88,827,160,5900.8,300,167,200.0,11064.0,6158.96,7376.0,0.265131495,0.395680022,0.29,13,3.84,768.0,2001.48,544.22,302.95,1733.85,0.24,0.45,0.25,0.3,1,-0.17782274406899912,1119.0,Stable Performers
Burgers,25396,Urban Burgers Eatery,QSR,South Auckland,1.05,46.32,881,176,8152.32,317,176,212.0,14683.44,8152.32,9819.84,0.224100139,0.372992298,0.28,7,2.07,438.84,3284.63,1804.71,1001.98,3517.65,0.25,0.45,0.25,0.3,1,0.5536140252767001,187.0,Stable Performers
Burgers,25087,Urban Burgers Tavern,Ghost Kitchen,CBD,1.0,34.74,800,72,2501.28,328,182,218.0,11394.72,6322.68,7573.32,0.285647805,0.293128232,0.31,18,5.31,1157.58,1053.6,1267.37,703.23,2032.48,0.1,0.45,0.25,0.3,1,-0.6382269625648327,1500.0,Stable Performers
Burgers,25125,Classic Burgers Tavern,Cafe,CBD,1.0,32.79,612,152,4984.08,207,115,138.0,6787.53,3770.85,4525.02,0.279599561,0.375583385,0.3,8,2.36,325.68,1718.6,304.2,169.0,1234.62,0.33,0.45,0.25,0.3,1,-1.0029068234168879,1655.0,Stable Performers
Burgers,25762,Lucky Burgers Cafe,QSR,South Auckland,1.05,36.07,572,128,4616.96,200,111,133.0,7214.0,4003.77,4797.31,0.220322184,0.430256453,0.27,11,3.25,432.25,1613.26,572.95,317.98,1244.03,0.29,0.45,0.25,0.3,1,0.023283447778327956,883.0,Stable Performers
Burgers,25009,Lucky Burgers Eatery,Cafe,South Auckland,1.05,45.34,1036,274,12423.16,343,190,229.0,15551.62,8614.6,10382.86,0.267623493,0.392365171,0.31,13,3.84,879.36,4224.02,466.72,258.54,2650.93,0.36,0.45,0.25,0.3,2,0.49687554496751085,245.0,Dependent Low Margin
Burgers,25107,King Burgers Eatery,Ghost Kitchen,CBD,1.0,42.53,953,62,2636.86,401,223,267.0,17054.53,9484.19,11355.51,0.260719021,0.292267443,0.29,10,2.95,787.65,1178.71,2677.79,1489.15,4288.42,0.07,0.45,0.25,0.3,1,-0.2759153150669447,1222.0,Stable Performers
Burgers,25352,King Burgers Bistro,Ghost Kitchen,North Shore,1.03,31.83,1354,100,3183.0,564,314,376.0,17952.12,9994.62,11968.08,0.259987647,0.24523503737500002,0.33,15,4.43,1665.68,1642.43,3339.13,1859.02,4509.87,0.08,0.45,0.25,0.3,2,0.09418093125311335,782.0,Dependent Low Margin
Burgers,25255,Urban Burgers Diner,Cafe,North Shore,1.03,37.65,1511,302,11370.3,544,302,363.0,20481.6,11370.3,13666.95,0.210879623,0.369592107,0.28,16,4.72,1713.36,4770.16,2857.76,1586.48,4020.31,0.25,0.45,0.25,0.3,2,0.4383866604242197,315.0,Dependent Low Margin
Burgers,26270,Top Burgers Diner,Ghost Kitchen,CBD,1.0,42.95,1382,53,2276.35,598,332,399.0,25684.1,14259.4,17137.05,0.259372561,0.309947346,0.29,18,5.31,1974.58125,980.38,3613.24,2006.01,5261.9,0.04,0.45,0.25,0.3,2,0.057361612487635494,838.0,Dependent Low Margin
Burgers,25612,Classic Burgers Bistro,QSR,South Auckland,1.05,45.49,998,193,8779.57,362,201,242.0,16467.38,9143.49,11008.58,0.253722506,0.430719664,0.28,4,1.18,285.56,2770.46,585.54,325.12,3188.28,0.24,0.45,0.25,0.3,1,0.4330487661325026,327.0,Stable Performers
Burgers,25436,Classic Burgers Tavern,Full-service,North Shore,1.03,42.97,718,242,10398.74,214,119,143.0,9195.58,5113.43,6144.71,0.36893942,0.501108689,0.32,8,2.36,337.48,1351.34,-1747.6,-971.8,461.04,0.51,0.45,0.25,0.3,1,-0.49210176403042033,1414.0,Stable Performers
